script_id,title,year,gross,writer,producer,director,total female words,total male words,percentage female,percentage_male,cx,cy,poster_url
633,A Serious Man,2009,10,m,m,m,3763,8163,0.32,0.68,0,0,http://ia.media-imdb.com/images/M/MV5BMjAwODUxMjA0M15BMl5BanBnXkFtZTcwNjIyMzY3Mg@@._V1_SX300.jpg
653,Ali,2001,89,m,m,m,857,8144,0.1,0.9,0,0,http://ia.media-imdb.com/images/M/MV5BMTUzMTM0NTQ4Nl5BMl5BanBnXkFtZTYwNDc2MTY5._V1_SX300.jpg
678,Analyze This,2002,48,m,m,m,759,12083,0.06,0.94,0,0,http://ia.media-imdb.com/images/M/MV5BMTc0OTYwMzQ5OF5BMl5BanBnXkFtZTYwMzQyMDg5._V1_SX300.jpg
714,Bamboozled,2000,3,m,m,m,1835,9632,0.16,0.84,0,0,http://ia.media-imdb.com/images/M/MV5BMTI2ODIzMjUyMV5BMl5BanBnXkFtZTYwNzEyMzY3._V1_SX300.jpg
726,The Beach,2000,64,m,m,m,1605,9204,0.15,0.85,0,0,http://ia.media-imdb.com/images/M/MV5BMTM3MDE0MzQwMF5BMl5BanBnXkFtZTYwNjk4Mjk5._V1_SX300.jpg
740,Big Fish,2003,95,m,m,m,2173,6953,0.24,0.76,0,0,http://ia.media-imdb.com/images/M/MV5BMTYyMzM3MzgyNV5BMl5BanBnXkFtZTcwMTI4MzUyMQ@@._V1_SX300.jpg
745,The Black Dahlia,2006,29,m,m,m,3167,8247,0.28,0.72,0,0,http://ia.media-imdb.com/images/M/MV5BMTg0MDc1OTQ5NF5BMl5BanBnXkFtZTcwNzE1ODUzMQ@@._V1_SX300.jpg
781,Bruce Almighty,2003,350,m,m,m,3425,9584,0.26,0.74,0,0,http://ia.media-imdb.com/images/M/MV5BMTYwMTUyNzAxMF5BMl5BanBnXkFtZTYwMDYwOTY3._V1_SX300.jpg
785,Burn After Reading,2008,73,m,m,m,2471,5827,0.3,0.7,0,0,http://ia.media-imdb.com/images/M/MV5BMTczNjQxODE0N15BMl5BanBnXkFtZTcwMzIxMjc3MQ@@._V1_SX300.jpg
789,Cast Away,2000,377,m,f,m,867,4956,0.15,0.85,0,0,http://ia.media-imdb.com/images/M/MV5BMTI2MDY0ODEwNF5BMl5BanBnXkFtZTYwMDI2NTk4._V1_SX300.jpg
793,Cellular,2004,44,m,m,m,2063,7578,0.21,0.79,0,0,http://ia.media-imdb.com/images/M/MV5BNzY3OTcyODgzOV5BMl5BanBnXkFtZTYwMzY1Mjc2._V1_SX300.jpg
795,Changeling,2008,43,m,f,m,4177,8895,0.32,0.68,0,0,http://ia.media-imdb.com/images/M/MV5BOTA1Mzg3NjIxNV5BMl5BanBnXkFtZTcwNzU2NTc5MQ@@._V1_SX300.jpg
814,Confessions of a Dangerous Mind,2002,16,m,m,m,1869,5453,0.26,0.74,0,0,http://ia.media-imdb.com/images/M/MV5BMTQyOTMxNjc5NF5BMl5BanBnXkFtZTYwMDk5OTg2._V1_SX300.jpg
